#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"
1.0%	10	0.020000000000000004	-807643.8298388012	159.52262575923658	553.5364176097282	0
2.0%	20	0.04000000000000002	-804423.8956414219	163.08108118409572	553.5364176097282	6.27
3.0%	30	0.06000000000000004	-802119.0995434341	161.74628226371559	553.5364176097282	9.11
4.0%	40	0.08000000000000006	-797124.9679127019	156.95384928835338	553.5364176097282	7.86
5.0%	50	0.10000000000000007	-793836.4031248745	154.66091215620762	553.5364176097282	7.6
6.0%	60	0.12000000000000009	-791467.6095252517	155.4254029255629	553.5364176097282	7.44
7.0%	70	0.1400000000000001	-789982.0350521831	157.1110812896749	553.5364176097282	8.2
8.0%	80	0.16000000000000011	-788834.5873380438	159.1873284082408	553.5364176097282	8.13
9.0%	90	0.18000000000000013	-787379.0510168583	162.54745461849117	553.5364176097282	8.08
10.0%	100	0.20000000000000015	-787594.4280029135	168.14038445113437	553.5364176097282	7.93
11.0%	110	0.22000000000000017	-787122.9352262123	172.27548850837672	553.5364176097282	7.82
12.0%	120	0.24000000000000019	-785662.3558886084	173.92882263735405	553.5364176097282	7.73
13.0%	130	0.2600000000000002	-785053.0364135066	177.4422224075061	553.5364176097282	8.1
14.0%	140	0.2800000000000002	-784114.402069685	179.7224437456288	553.5364176097282	8.03
15.0%	150	0.3000000000000002	-783061.0674897921	182.70095256015793	553.5364176097282	7.95
16.0%	160	0.32000000000000023	-782450.7855229555	185.4173182342291	553.5364176097282	7.9
17.0%	170	0.34000000000000025	-781195.9578817352	187.49063625081314	553.5364176097282	7.85
18.0%	180	0.36000000000000026	-780251.211575076	189.74649669657893	553.5364176097282	8.11
19.0%	190	0.3800000000000003	-779286.8545735022	191.7194343205833	553.5364176097282	8
20.0%	200	0.4000000000000003	-778534.2266350975	194.76678044305376	553.5364176097282	7.92
21.0%	210	0.4200000000000003	-777286.4931721259	196.3827758259108	553.5364176097282	7.87
22.0%	220	0.44000000000000034	-776072.2181183426	197.5450988653775	553.5364176097282	7.82
23.0%	230	0.46000000000000035	-774999.5361751048	198.81901167470562	553.5364176097282	8.01
24.0%	240	0.48000000000000037	-774514.9745347835	201.43653813297763	553.5364176097282	7.97
25.0%	250	0.5000000000000003	-773780.8611759171	203.83685969303662	553.5364176097282	7.94
26.0%	260	0.5200000000000004	-772897.6481374688	205.11565302017263	553.5364176097282	7.9
27.0%	270	0.5400000000000004	-771340.470505083	205.58976670429288	553.5364176097282	7.85
28.0%	280	0.5600000000000004	-771120.0436916593	208.92916291532785	553.5364176097282	7.95
29.0%	290	0.5800000000000004	-770118.4360611788	209.8950450911086	553.5364176097282	7.88
30.0%	300	0.6000000000000004	-769141.203548085	210.96926675813265	553.5364176097282	7.85
31.0%	310	0.6200000000000004	-768339.9648060976	212.99378059815743	553.5364176097282	7.81
32.0%	320	0.6400000000000005	-767853.6871240577	215.5198925585289	553.5364176097282	7.78
33.0%	330	0.6600000000000005	-766639.1763466503	215.95797592035976	553.5364176097282	7.73
34.0%	340	0.6800000000000005	-765519.3645753609	217.09756722012568	553.5364176097282	7.85
35.0%	350	0.7000000000000005	-764254.0644264594	217.5130585419279	553.5364176097282	7.82
36.0%	360	0.7200000000000005	-763698.6703721574	219.33778508213635	553.5364176097282	7.77
37.0%	370	0.7400000000000005	-763357.200329856	221.85938110486305	553.5364176097282	7.71
38.0%	380	0.7600000000000006	-762729.2632392431	223.20885392961233	553.5364176097282	7.63
39.0%	390	0.7800000000000006	-761661.0093025779	223.0836606786877	553.5364176097282	7.69
40.0%	400	0.8000000000000006	-760928.8793613589	224.74765531002387	553.5364176097282	7.59
41.0%	410	0.8200000000000006	-760067.0463966755	225.29626684028872	553.5364176097282	7.5
